###Go term extraction date and time: Wed Sep 21 10:46:36 2016###
Q04917,YWHAH,GO:0019899;GO:0006713;GO:0014704;GO:0061024;GO:0048167;GO:0021762;GO:0005739;GO:0044325;GO:0005737;GO:0070062;GO:0006886;GO:0042921;GO:0003779;GO:0045664;GO:2000649;GO:0002028;GO:0035259;GO:0005159;GO:0030659;GO:0045893;GO:0005886;GO:0086010;GO:0050774;GO:0005829;GO:0017080;GO:1900740;GO:0005515;GO:0046982;GO:0019904
P30512,HLA-A,GO:0030881;GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P16189,HLA-A,GO:0030881;GO:0005783;GO:0005886;GO:0046977;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P10314,HLA-A,GO:0030881;GO:0005783;GO:0005886;GO:0046977;GO:0002474;GO:0042270;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0050776;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0042612;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P10316,HLA-A,GO:0030881;GO:0005783;GO:0005886;GO:0002474;GO:0070062;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0009986;GO:0031901;GO:0005794;GO:0019882;GO:0044822;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30485,HLA-B,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30488,HLA-B,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P18464,HLA-B,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0002486;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30492,HLA-B,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
Q29940,HLA-B,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30501,HLA-C,GO:0005783;GO:0005886;GO:0046977;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0005887;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P04222,HLA-C,GO:0005783;GO:0005886;GO:0046977;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0009986;GO:0031901;GO:0005794;GO:0019882;GO:0045087;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30504,HLA-C,GO:0005783;GO:0005886;GO:0046977;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0009986;GO:0031901;GO:0005794;GO:0019882;GO:0045087;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
P30510,HLA-C,GO:0005783;GO:0005886;GO:0002474;GO:0042605;GO:0016021;GO:0016020;GO:0002479;GO:0071556;GO:0031901;GO:0005794;GO:0019882;GO:0009986;GO:0060333;GO:0042612;GO:0002480;GO:0060337;GO:0005887;GO:0006955;GO:0012507;GO:0050776;GO:0030670;GO:0000139;GO:0002376;GO:0016032
Q13362,PPP2R5C,GO:0008285;GO:0005829;GO:0000159;GO:0043161;GO:0005634;GO:0005654;GO:0034047;GO:0006977;GO:0007165;GO:0005515;GO:0008601;GO:0014066;GO:0005694;GO:0000775;GO:0042771
